timestamp,category,prompt_label,global_index,tokens,hit_eos,prompt_tokens,latency_sec,throughput_tok_sec,avg_power_watts,median_power_watts,min_power_watts,max_power_watts,total_energy_joules,energy_source,energy_j_counter,energy_j_sampled,joules_per_token,temp_start_c,temp_end_c,temp_max_c,sm_clock_mean_mhz,sm_clock_min_mhz,mem_clock_mean_mhz,throttle_reasons,n_power_samples,effective_sample_hz
2026-09-04T00:42:47.877487,FP16 Baseline (matched harness),Poem_trial1,1,250,False,48,6.495877,38.49,488.88,497.97,383.18,562.27,2897.026,nvml_counter,2897.026,3172.3669,11.588104,65,65,65,2837.4,2812,13801.0,4,649,99.9
2026-09-04T00:42:54.433336,FP16 Baseline (matched harness),Physics_trial1,2,250,False,49,6.445708,38.79,487.26,491.5,387.88,560.82,2939.845,nvml_counter,2939.845,3139.3288,11.75938,65,65,65,2836.7,2812,13801.0,0,645,100.1
2026-09-04T00:43:01.005496,FP16 Baseline (matched harness),Code_trial1,3,250,False,49,6.460933,38.69,482.86,495.28,373.25,560.79,2918.912,nvml_counter,2918.912,3116.91,11.675648,65,64,65,2837.0,2812,13801.0,4,646,100.0
2026-09-04T00:43:05.170756,FP16 Baseline (matched harness),Poem_trial2,4,250,False,48,6.377967,39.2,485.1,493.15,377.3,568.49,2929.483,nvml_counter,2929.483,3091.5538,11.717932,64,65,65,2835.9,2812,13801.0,4,638,100.0
2026-09-04T00:43:11.621466,FP16 Baseline (matched harness),Physics_trial2,5,250,False,49,6.343716,39.41,491.36,499.46,382.59,570.1,2920.109,nvml_counter,2920.109,3114.6496,11.680436,65,65,65,2837.2,2812,13801.0,4,635,100.1
2026-09-04T00:43:18.137951,FP16 Baseline (matched harness),Code_trial2,6,250,False,49,6.408509,39.01,491.92,500.28,390.2,568.88,2919.045,nvml_counter,2919.045,3152.1429,11.67618,65,65,65,2837.0,2812,13801.0,4,641,100.0
2026-09-04T00:43:24.637853,FP16 Baseline (matched harness),Poem_trial3,7,250,False,48,6.390301,39.12,489.67,501.06,380.57,568.01,2912.787,nvml_counter,2912.787,3128.4298,11.651148,65,65,65,2837.3,2812,13801.0,0,640,100.2
2026-09-04T00:43:31.123360,FP16 Baseline (matched harness),Physics_trial3,8,250,False,49,6.364424,39.28,484.85,497.76,371.75,568.57,2879.943,nvml_counter,2879.943,3083.2836,11.519772,65,65,65,2835.6,2805,13801.0,4,637,100.1
2026-09-04T00:43:35.266822,FP16 Baseline (matched harness),Code_trial3,9,250,False,49,6.349062,39.38,491.99,501.16,388.48,568.81,2908.872,nvml_counter,2908.872,3122.4594,11.635488,65,65,65,2837.3,2812,13801.0,4,635,100.0
2026-09-04T00:43:41.714520,FP16 Baseline (matched harness),Poem_trial4,10,250,False,48,6.338103,39.44,490.6,499.75,384.54,569.98,2903.605,nvml_counter,2903.605,3110.1059,11.61442,65,65,65,2836.9,2812,13801.0,4,633,99.9
