timestamp,condition,prompt_label,round,global_index,tokens,prompt_tokens,latency_sec,throughput_tok_sec,avg_power_watts,min_power_watts,max_power_watts,total_energy_joules,energy_source,joules_per_token,int4_layer_calls,fp16_layer_calls,int4_fraction,temp_start_c,temp_end_c,temp_max_c,sm_clock_mean_mhz,throttle_reasons,n_power_samples
2026-09-05T14:59:59.455856,FP16 Baseline,Poem,1,1,250,48,6.75528,37.01,462.41,371.51,534.48,2876.866,nvml_counter,11.507464,0,8000,0.0,64,64,64,2829.7,0,675
2026-09-05T15:00:06.589306,Entropy-Gated (INT4/FP16),Poem,1,2,250,48,6.995958,35.73,458.21,348.61,535.68,2975.787,nvml_counter,11.903148,1376,6624,0.172,64,64,64,2832.8,0,699
2026-09-05T15:00:13.547836,FP16 Baseline,Physics,1,3,250,49,6.825279,36.63,464.19,351.67,551.15,2903.245,nvml_counter,11.61298,0,8000,0.0,59,64,64,2832.4,0,683
2026-09-05T15:00:20.738931,Entropy-Gated (INT4/FP16),Physics,1,4,250,49,7.061484,35.4,482.84,373.38,545.26,3118.967,nvml_counter,12.475868,5120,2880,0.64,64,64,64,2823.8,0,706
2026-09-05T15:00:24.802913,FP16 Baseline,Code,1,5,250,49,6.603169,37.86,473.08,367.48,532.92,2896.445,nvml_counter,11.58578,0,8000,0.0,64,63,65,2829.2,0,661
2026-09-05T15:00:32.327643,Entropy-Gated (INT4/FP16),Code,1,6,250,49,7.391012,33.82,472.18,358.78,543.72,3307.026,nvml_counter,13.228104,7648,352,0.956,63,64,64,2821.0,0,739
2026-09-05T15:00:39.513868,Entropy-Gated (INT4/FP16),Poem,2,7,250,48,7.052459,35.45,459.97,369.33,525.02,3003.131,nvml_counter,12.012524,1376,6624,0.172,64,64,64,2825.9,0,705
2026-09-05T15:00:46.434910,FP16 Baseline,Poem,2,8,250,48,6.79298,36.8,463.16,346.79,549.85,2932.339,nvml_counter,11.729356,0,8000,0.0,63,63,63,2833.6,4,679
2026-09-05T15:00:53.615301,Entropy-Gated (INT4/FP16),Physics,2,9,250,49,7.05025,35.46,479.48,371.38,542.85,3139.402,nvml_counter,12.557608,5120,2880,0.64,59,64,64,2823.1,0,705
2026-09-05T15:00:57.683375,FP16 Baseline,Physics,2,10,250,49,6.573572,38.03,473.02,365.46,550.73,2931.933,nvml_counter,11.727732,0,8000,0.0,64,64,64,2833.0,0,658
2026-09-05T15:01:05.077552,Entropy-Gated (INT4/FP16),Code,2,11,250,49,7.267634,34.4,484.53,376.54,542.3,3268.909,nvml_counter,13.075636,7648,352,0.956,64,64,64,2817.7,4,727
2026-09-05T15:01:11.886490,FP16 Baseline,Code,2,12,250,49,6.688637,37.38,473.69,362.23,552.22,2882.082,nvml_counter,11.528328,0,8000,0.0,64,64,64,2828.2,0,669
2026-09-05T15:01:18.712162,FP16 Baseline,Poem,3,13,250,48,6.701289,37.31,471.81,372.1,550.59,2912.25,nvml_counter,11.649,0,8000,0.0,64,64,64,2832.1,4,670
2026-09-05T15:01:22.877315,Entropy-Gated (INT4/FP16),Poem,3,14,250,48,6.692526,37.36,473.67,359.22,547.31,2964.583,nvml_counter,11.858332,1376,6624,0.172,64,64,65,2831.3,0,669
2026-09-05T15:01:29.590799,FP16 Baseline,Physics,3,15,250,49,6.595033,37.91,473.41,372.75,550.41,2927.541,nvml_counter,11.710164,0,8000,0.0,64,64,64,2831.9,0,660
2026-09-05T15:01:36.783785,Entropy-Gated (INT4/FP16),Physics,3,16,250,49,7.056957,35.43,479.12,369.2,543.74,3156.086,nvml_counter,12.624344,5120,2880,0.64,64,64,64,2824.5,0,706
2026-09-05T15:01:43.659177,FP16 Baseline,Code,3,17,250,49,6.753413,37.02,470.72,370.44,552.34,2910.312,nvml_counter,11.641248,0,8000,0.0,64,64,64,2831.8,0,675
2026-09-05T15:01:51.011164,Entropy-Gated (INT4/FP16),Code,3,18,250,49,7.218453,34.63,486.82,376.31,542.74,3259.232,nvml_counter,13.036928,7648,352,0.956,64,64,64,2816.8,4,721
2026-09-05T15:01:55.201555,Entropy-Gated (INT4/FP16),Poem,4,19,250,48,6.691082,37.36,474.36,367.36,550.26,2965.56,nvml_counter,11.86224,1376,6624,0.172,64,64,65,2826.7,4,669
2026-09-05T15:02:01.883854,FP16 Baseline,Poem,4,20,250,48,6.560037,38.11,475.13,367.57,551.64,2931.038,nvml_counter,11.724152,0,8000,0.0,64,64,64,2831.2,4,656
2026-09-05T15:02:09.052231,Entropy-Gated (INT4/FP16),Physics,4,21,250,49,7.036391,35.53,481.92,369.55,544.26,3104.418,nvml_counter,12.417672,5120,2880,0.64,64,64,65,2823.0,0,703
2026-09-05T15:02:15.946446,FP16 Baseline,Physics,4,22,250,49,6.763617,36.96,468.81,350.13,554.25,2949.581,nvml_counter,11.798324,0,8000,0.0,64,64,64,2830.4,4,677
2026-09-05T15:02:23.437849,Entropy-Gated (INT4/FP16),Code,4,23,250,49,7.358471,33.97,479.07,371.22,535.22,3273.542,nvml_counter,13.094168,7648,352,0.956,64,64,64,2817.9,0,736
2026-09-05T15:02:27.605944,FP16 Baseline,Code,4,24,250,49,6.699101,37.32,467.01,363.89,547.32,2946.146,nvml_counter,11.784584,0,8000,0.0,64,64,64,2827.5,0,670
2026-09-05T15:02:34.373533,FP16 Baseline,Poem,5,25,250,48,6.643288,37.63,470.07,360.75,550.27,2887.555,nvml_counter,11.55022,0,8000,0.0,64,64,64,2832.4,0,664
2026-09-05T15:02:41.302551,Entropy-Gated (INT4/FP16),Poem,5,26,250,48,6.795516,36.79,474.41,370.18,548.54,2966.418,nvml_counter,11.865672,1376,6624,0.172,64,64,64,2828.5,0,680
2026-09-05T15:02:48.077249,FP16 Baseline,Physics,5,27,250,49,6.649414,37.6,475.02,374.31,552.56,2913.943,nvml_counter,11.655772,0,8000,0.0,64,64,64,2831.2,0,665
2026-09-05T15:02:52.510443,Entropy-Gated (INT4/FP16),Physics,5,28,250,49,6.95985,35.92,483.16,378.71,546.35,3118.982,nvml_counter,12.475928,5120,2880,0.64,64,64,64,2823.5,0,696
2026-09-05T15:02:59.332056,FP16 Baseline,Code,5,29,250,49,6.693669,37.35,467.42,362.58,546.28,2938.551,nvml_counter,11.754204,0,8000,0.0,64,64,64,2828.8,0,670
2026-09-05T15:03:06.850478,Entropy-Gated (INT4/FP16),Code,5,30,250,49,7.374949,33.9,477.03,361.29,535.11,3265.425,nvml_counter,13.0617,7648,352,0.956,63,64,64,2817.9,0,738
2026-09-05T15:18:38.917827,FP16 Baseline,Poem,1,1,250,48,6.642137,37.64,468.3,370.6,543.53,2885.31,nvml_counter,11.54124,0,8000,0.0,64,64,65,2827.7,4,664
2026-09-05T15:18:45.954198,Entropy-Gated (INT4/FP16),Poem,1,2,250,48,6.921201,36.12,469.42,369.94,543.75,3018.034,nvml_counter,12.072136,2336,5664,0.292,64,64,65,2831.7,0,692
2026-09-05T15:18:52.819401,FP16 Baseline,Physics,1,3,250,49,6.748111,37.05,468.3,364.52,548.5,2917.485,nvml_counter,11.66994,0,8000,0.0,64,64,65,2832.1,0,675
2026-09-05T15:19:00.113525,Entropy-Gated (INT4/FP16),Physics,1,4,250,49,7.174992,34.84,477.64,373.81,540.22,3184.218,nvml_counter,12.736872,5152,2848,0.644,64,64,64,2823.8,4,717
2026-09-05T15:19:06.996151,FP16 Baseline,Code,1,5,250,49,6.75914,36.99,467.88,357.65,548.71,2896.315,nvml_counter,11.58526,0,8000,0.0,64,64,64,2830.9,0,676
2026-09-05T15:19:11.613142,Entropy-Gated (INT4/FP16),Code,1,6,250,49,7.186508,34.79,485.48,371.31,544.2,3220.944,nvml_counter,12.883776,7648,352,0.956,64,64,64,2818.5,0,718
2026-09-05T15:19:18.452084,Entropy-Gated (INT4/FP16),Poem,2,7,250,48,6.725807,37.17,477.69,377.94,550.21,2993.633,nvml_counter,11.974532,2336,5664,0.292,60,64,64,2826.0,0,672
2026-09-05T15:19:25.212968,FP16 Baseline,Poem,2,8,250,48,6.644906,37.62,472.73,371.08,542.3,2912.449,nvml_counter,11.649796,0,8000,0.0,64,64,64,2830.7,0,665
